Airline IATA,Source airport IATA,Destination airport IATA,Distance
QH,OSS,SGC,2305.9628038434257
QH,OSS,URC,1260.649836627355
QH,OSS,URC,1260.649836627355
QH,OVB,FRU,1454.0403200640458
QH,OVB,FRU,1454.0403200640458
QH,OVB,OSS,1758.6786987929572
QH,OVB,OSS,1758.6786987929572
QH,SGC,OSS,2305.9628038434257
QH,SGC,OSS,2305.9628038434257
QH,SVX,FRU,1801.9801070193128
QH,SVX,FRU,1801.9801070193128
QH,TAS,FRU,472.8226443448698
QH,TAS,FRU,472.8226443448698
QH,URC,FRU,1051.6646082119928
QH,URC,FRU,1051.6646082119928
QH,URC,OSS,1260.649836627355
QH,URC,OSS,1260.649836627355
QL,AUA,CCS,391.36115422614273
QL,BLA,CCS,257.30811386855237
QL,CCS,AUA,391.36115422614273
QL,CCS,BLA,257.30811386855237
QL,CCS,MAR,517.7536458192448
QL,CCS,PMV,332.2206230287618
QL,CCS,STD,648.5266639809732
QL,CCS,VIG,558.3152507601936
QL,MAR,CCS,517.7536458192448
QL,PMV,CCS,332.2206230287618
QL,PMV,VLN,441.3340287907213
QL,STD,CCS,648.5266639809732
QL,VIG,CCS,558.3152507601936
QL,VLN,PMV,441.3340287907213
QN,AER,EVN,519.7335608579108
QN,AER,EVN,519.7335608579108
QN,ATH,EVN,1779.2481988542886
QN,ATH,EVN,1779.2481988542886
QN,CDG,EVN,3409.617749974075
QN,CDG,EVN,3409.617749974075
QN,EVN,AER,519.7335608579108
QN,EVN,AER,519.7335608579108
QN,EVN,ATH,1779.2481988542886
QN,EVN,ATH,1779.2481988542886
QN,EVN,CDG,3409.617749974075
QN,EVN,CDG,3409.617749974075
QN,EVN,GOJ,1788.8827072243498
QN,EVN,GOJ,1788.8827072243498
QN,EVN,KUF,1547.5034087537729
QN,EVN,KUF,1547.5034087537729
QN,EVN,LED,2396.0685067952986
QN,EVN,LED,2396.0685067952986
QN,EVN,SVX,2194.2433632349694
QN,EVN,SVX,2194.2433632349694
QN,EVN,VKO,1795.5886905715095
QN,EVN,VKO,1795.5886905715095
QN,GOJ,EVN,1788.8827072243498
QN,GOJ,EVN,1788.8827072243498
QN,KUF,EVN,1547.5034087537729
QN,KUF,EVN,1547.5034087537729
QN,LED,EVN,2396.0685067952986
QN,LED,EVN,2396.0685067952986
QN,SVX,EVN,2194.2433632349694
QN,SVX,EVN,2194.2433632349694
QN,VKO,EVN,1795.5886905715095
QN,VKO,EVN,1795.5886905715095
QR,ADD,DOH,2262.5201733608424
QR,ALG,DOH,4732.301194379575
QR,AMD,DOH,2144.7079260196106
QR,AMM,DOH,1683.6840197286076
QR,ARN,DOH,4618.104748776499
QR,ATH,DOH,2957.871350388815
QR,ATL,IAH,1107.5625747320164
QR,ATL,ORD,976.3278291656198
QR,ATQ,DOH,2371.020025615546
QR,AUH,DOH,320.91850477849465
QR,BAH,DOH,147.7476862939294
QR,BCN,DOH,4861.506399032174
QR,BCN,JFK,6150.227182054505
QR,BEG,ESB,1162.0744910951892
QR,BEY,DOH,1822.6607225137734
QR,BGW,DOH,1139.7360563051755
QR,BKK,CNX,596.7081267163255
QR,BKK,DOH,5279.962355265105
QR,BKK,HAN,995.2351911715974
QR,BKK,HKT,673.5405578080733
QR,BKK,KBV,649.7593114251201
QR,BKK,MDL,1024.7852343891639
QR,BLR,DOH,3042.66659118144
QR,BOM,DOH,2291.2615772595755
QR,BRU,DOH,4892.355466433267
QR,BSR,DOH,703.0696699190933
QR,BUD,DOH,3755.599580415626
QR,BUD,ZAG,307.68437045519084
QR,CAI,DOH,2057.5659754671656
QR,CAN,DOH,6196.903115640006
QR,CCJ,DOH,3005.041160220011
QR,CCU,DOH,3742.9888395265093
QR,CDG,DOH,4969.188426810293
QR,CDG,JFK,5833.649776425998
QR,CGK,DOH,6893.586344614907
QR,CKG,DOH,5400.585309468155
QR,CMB,DOH,3612.5402992402433
QR,CMN,DOH,5734.436255465112
QR,CNX,BKK,596.7081267163255
QR,COK,DOH,3108.301081405822
QR,CPH,DOH,4609.669856461675
QR,CPT,DOH,7452.119578223234
QR,CPT,JNB,1271.0680698639783
QR,CRK,DOH,7209.018892053009
QR,CTU,DOH,5130.872644702966
QR,DAC,DOH,3912.6720216008193
QR,DAR,DOH,3818.6490632850887
QR,DAR,JRO,450.09084581371485
QR,DEL,DOH,2549.2123442240995
QR,DME,DOH,3531.934977591879
QR,DMM,DOH,224.82514318949734
QR,DOH,ADD,2262.5201733608424
QR,DOH,ALG,4732.301194379575
QR,DOH,AMD,2144.7079260196106
QR,DOH,AMM,1683.6840197286076
QR,DOH,ARN,4618.104748776499
QR,DOH,ATH,2957.871350388815
QR,DOH,ATQ,2371.020025615546
QR,DOH,AUH,320.91850477849465
QR,DOH,BAH,147.7476862939294
QR,DOH,BCN,4861.506399032174
QR,DOH,BEY,1822.6607225137734
QR,DOH,BGW,1139.7360563051755
QR,DOH,BKK,5279.962355265105
QR,DOH,BLR,3042.66659118144
QR,DOH,BOM,2291.2615772595755
QR,DOH,BRU,4892.355466433267
QR,DOH,BSR,703.0696699190933
QR,DOH,BUD,3755.599580415626
QR,DOH,CAI,2057.5659754671656
QR,DOH,CAN,6196.903115640006
QR,DOH,CCJ,3005.041160220011
QR,DOH,CCU,3742.9888395265093
QR,DOH,CDG,4969.188426810293
QR,DOH,CGK,6893.586344614907
QR,DOH,CKG,5400.585309468155
QR,DOH,CMB,3612.5402992402433
QR,DOH,CMN,5734.436255465112
QR,DOH,COK,3108.301081405822
QR,DOH,CPH,4609.669856461675
QR,DOH,CRK,7209.018892053009
QR,DOH,CTU,5130.872644702966
QR,DOH,DAC,3912.6720216008193
QR,DOH,DAR,3818.6490632850887
QR,DOH,DEL,2549.2123442240995
QR,DOH,DME,3531.934977591879
QR,DOH,DMM,224.82514318949734
QR,DOH,DWC,360.278244176616
QR,DOH,DXB,377.7326795134392
QR,DOH,EBB,3480.1010546403772
QR,DOH,EBL,1420.0459899552911
QR,DOH,ELQ,792.4958715075974
QR,DOH,ESB,2390.7586343631565
QR,DOH,FCO,4038.720736053198
QR,DOH,FRA,4587.532277080937
QR,DOH,GOI,2559.7603738368475
QR,DOH,GRU,11858.321516242087
QR,DOH,GVA,4635.884531826294
QR,DOH,GYD,1695.7426887447275
QR,DOH,HBE,2234.7586749870698
QR,DOH,HGH,6692.579833764579
QR,DOH,HKG,6290.738487895749
QR,DOH,HYD,2913.5000852025187
QR,DOH,IAD,11127.339799594654
QR,DOH,IAH,12932.537856965042
QR,DOH,ICN,7052.49543334414
QR,DOH,IKA,1128.6985039169488
QR,DOH,ISB,2248.7234259637085
QR,DOH,IST,2755.92528514862
QR,DOH,ISU,1292.5575780433699
QR,DOH,JED,1330.6296548769074
QR,DOH,JFK,10769.45849279207
QR,DOH,JNB,6242.532870902857
QR,DOH,KHI,1565.8651813511283
QR,DOH,KIX,7905.069809707356
QR,DOH,KRT,2254.744363041793
QR,DOH,KTM,3359.541566700197
QR,DOH,KUL,5909.2833579468315
QR,DOH,KWI,567.9584097547474
QR,DOH,LCA,2028.3223616323996
QR,DOH,LHE,2330.2871437741364
QR,DOH,LHR,5241.464897747244
QR,DOH,LOS,5527.52465222648
QR,DOH,LXR,1896.3511958175075
QR,DOH,MAA,3286.407838645668
QR,DOH,MAD,5329.899109777215
QR,DOH,MAN,5409.378810051626
QR,DOH,MCT,701.1240796001055
QR,DOH,MED,1202.655612225523
QR,DOH,MEL,11957.514059721112
QR,DOH,MHD,1439.1166676731577
QR,DOH,MLE,3312.3204444617813
QR,DOH,MNL,7282.485461769444
QR,DOH,MUC,4301.900509489454
QR,DOH,MXP,4422.761025024886
QR,DOH,NBO,3352.6715116236965
QR,DOH,NJF,1025.1369481178049
QR,DOH,NRT,8297.671855150189
QR,DOH,ORD,11458.090560606384
QR,DOH,OSL,4955.520281021722
QR,DOH,OTP,3140.504600461659
QR,DOH,PEK,6162.47795169853
QR,DOH,PER,9329.632915212364
QR,DOH,PEW,2149.1369613246147
QR,DOH,PHL,10918.61037514911
QR,DOH,PVG,6796.004931189736
QR,DOH,RGN,4690.587752398102
QR,DOH,RUH,495.48884412913213
QR,DOH,SAH,1333.2911253174816
QR,DOH,SGN,5994.677256742848
QR,DOH,SHJ,393.01581520383104
QR,DOH,SIN,6206.65563303418
QR,DOH,SLL,951.0541439811427
QR,DOH,SYZ,484.16374273915955
QR,DOH,TIF,1204.8382913769642
QR,DOH,TRV,3265.453317600191
QR,DOH,TUN,4110.443320240215
QR,DOH,TXL,4405.600669161453
QR,DOH,VCE,4149.664003026117
QR,DOH,VIE,3968.5494457798163
QR,DOH,WAW,3944.1710488610297
QR,DOH,YUL,10406.20845627318
QR,DOH,ZRH,4494.971970741139
QR,DPS,SIN,1671.4978147647744
QR,DWC,DOH,360.278244176616
QR,DXB,DOH,377.7326795134392
QR,EBB,DOH,3480.1010546403772
QR,EBB,KGL,340.01947927979796
QR,EBL,DOH,1420.0459899552911
QR,ELQ,DOH,792.4958715075974
QR,ESB,BEG,1162.0744910951892
QR,ESB,DOH,2390.7586343631565
QR,EZE,GRU,1722.1992250300852
QR,FCO,DOH,4038.720736053198
QR,FRA,DOH,4587.532277080937
QR,GOI,DOH,2559.7603738368475
QR,GRU,DOH,11858.321516242087
QR,GRU,EZE,1722.1992250300852
QR,GVA,DOH,4635.884531826294
QR,GYD,DOH,1695.7426887447275
QR,GYD,TBS,447.21920728934936
QR,HAN,BKK,995.2351911715974
QR,HBE,DOH,2234.7586749870698
QR,HGH,DOH,6692.579833764579
QR,HKG,DOH,6290.738487895749
QR,HKT,BKK,673.5405578080733
QR,HKT,KUL,705.1264394627866
QR,HYD,DOH,2913.5000852025187
QR,IAD,DOH,11127.339799594654
QR,IAH,DOH,12932.537856965042
QR,ICN,DOH,7052.49543334414
QR,IKA,DOH,1128.6985039169488
QR,ISB,DOH,2248.7234259637085
QR,IST,DOH,2755.92528514862
QR,ISU,DOH,1292.5575780433699
QR,JED,DOH,1330.6296548769074
QR,JFK,BCN,6150.227182054505
QR,JFK,CDG,5833.649776425998
QR,JFK,DOH,10769.45849279207
QR,JFK,LAS,3609.2825234219504
QR,JFK,MSY,1901.4897105100436
QR,JFK,MXP,6412.74643390327
QR,JFK,ORD,1187.8355870120465
QR,JFK,SAN,3928.037600752204
QR,JNB,CPT,1271.0680698639783
QR,JNB,DOH,6242.532870902857
QR,JNB,MPM,432.9571973196047
QR,JRO,DAR,450.09084581371485
QR,KBV,BKK,649.7593114251201
QR,KGL,EBB,340.01947927979796
QR,KHI,DOH,1565.8651813511283
QR,KIX,DOH,7905.069809707356
QR,KRT,DOH,2254.744363041793
QR,KTM,DOH,3359.541566700197
QR,KUL,DOH,5909.2833579468315
QR,KUL,HKT,705.1264394627866
QR,KWI,DOH,567.9584097547474
QR,LAS,JFK,3609.2825234219504
QR,LCA,DOH,2028.3223616323996
QR,LHE,DOH,2330.2871437741364
QR,LHR,DOH,5241.464897747244
QR,LOS,DOH,5527.52465222648
QR,LXR,DOH,1896.3511958175075
QR,MAA,DOH,3286.407838645668
QR,MAD,DOH,5329.899109777215
QR,MAN,DOH,5409.378810051626
QR,MCT,DOH,701.1240796001055
QR,MDL,BKK,1024.7852343891639
QR,MED,DOH,1202.655612225523
QR,MEL,DOH,11957.514059721112
QR,MEX,ATL,2143.3945057221927
QR,MHD,DOH,1439.1166676731577
QR,MLE,DOH,3312.3204444617813
QR,MNL,DOH,7282.485461769444
QR,MPM,JNB,432.9571973196047
QR,MSY,JFK,1901.4897105100436
QR,MUC,DOH,4301.900509489454
QR,MXP,DOH,4422.761025024886
QR,MXP,JFK,6412.74643390327
QR,NBO,DOH,3352.6715116236965
QR,NJF,DOH,1025.1369481178049
QR,NRT,DOH,8297.671855150189
QR,ORD,ATL,976.3278291656198
QR,ORD,DOH,11458.090560606384
QR,ORD,JFK,1187.8355870120465
QR,ORD,MSY,1349.2498778486827
QR,OSL,DOH,4955.520281021722
QR,OTP,DOH,3140.504600461659
QR,OTP,SOF,299.52967228288344
QR,PEK,DOH,6162.47795169853
QR,PER,DOH,9329.632915212364
QR,PEW,DOH,2149.1369613246147
QR,PHL,DOH,10918.61037514911
QR,PNH,SGN,213.17975956334834
QR,PVG,DOH,6796.004931189736
QR,RGN,DOH,4690.587752398102
QR,RUH,DOH,495.48884412913213
QR,SAH,DOH,1333.2911253174816
QR,SAN,JFK,3928.037600752204
QR,SGN,DOH,5994.677256742848
QR,SGN,PNH,213.17975956334834
QR,SHJ,DOH,393.01581520383104
QR,SIN,DOH,6206.65563303418
QR,SIN,DPS,1671.4978147647744
QR,SLL,DOH,951.0541439811427
QR,SOF,OTP,299.52967228288344
QR,SYZ,DOH,484.16374273915955
QR,TBS,GYD,447.21920728934936
QR,TIF,DOH,1204.8382913769642
QR,TRV,DOH,3265.453317600191
QR,TUN,DOH,4110.443320240215
QR,TXL,DOH,4405.600669161453
QR,VCE,DOH,4149.664003026117
QR,VIE,DOH,3968.5494457798163
QR,WAW,DOH,3944.1710488610297
QR,YUL,DOH,10406.20845627318
QR,ZAG,BUD,307.68437045519084
QR,ZRH,DOH,4494.971970741139
QS,AMS,PRG,705.0079806538921
QS,AMS,PRG,705.0079806538921
QS,ARN,PRG,1087.1016375378015
QS,ARN,PRG,1087.1016375378015
QS,AYT,PRG,1974.798408365045
QS,AYT,PRG,1974.798408365045
QS,BCN,PRG,1358.028873187786
QS,BCN,PRG,1358.028873187786
QS,BRU,PRG,696.5779880870049
QS,BRU,PRG,696.5779880870049
QS,BTS,PRG,303.64758166571437
QS,BTS,PRG,303.64758166571437
QS,BUD,PRG,471.5957768073475
QS,BUD,PRG,471.5957768073475
QS,CDG,OSR,1127.6172428776356
QS,CDG,OSR,1127.6172428776356
QS,CDG,PRG,852.3710112360449
QS,CDG,PRG,852.3710112360449
QS,CPH,PRG,622.8081991272937
QS,CPH,PRG,622.8081991272937
QS,DUS,PRG,543.8229731788716
QS,DUS,PRG,543.8229731788716
QS,FCO,PRG,936.0123537136274
QS,FCO,PRG,936.0123537136274
QS,FNC,PRG,3193.790220966626
QS,FNC,PRG,3193.790220966626
QS,FRA,PRG,406.05492443316194
QS,FRA,PRG,406.05492443316194
QS,HAM,PRG,489.7811462723172
QS,HAM,PRG,489.7811462723172
QS,KBP,PRG,1181.2844845218856
QS,KBP,PRG,1181.2844845218856
QS,KSC,PRG,529.8045579869973
QS,KSC,PRG,529.8045579869973
QS,LPA,PRG,3511.7935636519305
QS,LPA,PRG,3511.7935636519305
QS,MAD,PRG,1750.4090239791074
QS,MAD,PRG,1750.4090239791074
QS,MXP,PRG,645.668978584149
QS,MXP,PRG,645.668978584149
QS,NCE,PRG,893.4714130712425
QS,NCE,PRG,893.4714130712425
QS,OSR,CDG,1127.6172428776356
QS,OSR,CDG,1127.6172428776356
QS,OSR,PRG,279.44675401393215
QS,OSR,PRG,279.44675401393215
QS,OTP,PRG,1080.6456067226973
QS,OTP,PRG,1080.6456067226973
QS,PMI,PRG,1480.162194320109
QS,PMI,PRG,1480.162194320109
QS,PRG,AMS,705.0079806538921
QS,PRG,AMS,705.0079806538921
QS,PRG,ARN,1087.1016375378015
QS,PRG,ARN,1087.1016375378015
QS,PRG,AYT,1974.798408365045
QS,PRG,AYT,1974.798408365045
QS,PRG,BCN,1358.028873187786
QS,PRG,BCN,1358.028873187786
QS,PRG,BRU,696.5779880870049
QS,PRG,BRU,696.5779880870049
QS,PRG,BTS,303.64758166571437
QS,PRG,BTS,303.64758166571437
QS,PRG,BUD,471.5957768073475
QS,PRG,BUD,471.5957768073475
QS,PRG,CDG,852.3710112360449
QS,PRG,CDG,852.3710112360449
QS,PRG,CPH,622.8081991272937
QS,PRG,CPH,622.8081991272937
QS,PRG,DUS,543.8229731788716
QS,PRG,DUS,543.8229731788716
QS,PRG,FCO,936.0123537136274
QS,PRG,FCO,936.0123537136274
QS,PRG,FNC,3193.790220966626
QS,PRG,FNC,3193.790220966626
QS,PRG,FRA,406.05492443316194
QS,PRG,FRA,406.05492443316194
QS,PRG,HAM,489.7811462723172
QS,PRG,HAM,489.7811462723172
QS,PRG,HER,1863.617358998263
QS,PRG,HER,1863.617358998263
QS,PRG,KBP,1181.2844845218856
QS,PRG,KBP,1181.2844845218856
QS,PRG,KSC,529.8045579869973
QS,PRG,KSC,529.8045579869973
QS,PRG,LPA,3511.7935636519305
QS,PRG,LPA,3511.7935636519305
QS,PRG,MAD,1750.4090239791074
QS,PRG,MAD,1750.4090239791074
QS,PRG,MXP,645.668978584149
QS,PRG,MXP,645.668978584149
QS,PRG,NCE,893.4714130712425
QS,PRG,NCE,893.4714130712425
QS,PRG,OSR,279.44675401393215
QS,PRG,OSR,279.44675401393215
QS,PRG,OTP,1080.6456067226973
QS,PRG,OTP,1080.6456067226973
QS,PRG,PMI,1480.162194320109
QS,PRG,PMI,1480.162194320109
QS,PRG,RHO,1883.6571824308435
QS,PRG,RHO,1883.6571824308435
QS,PRG,SPU,745.8681391471162
QS,PRG,SPU,745.8681391471162
QS,PRG,SXB,510.89906358090093
QS,PRG,SXB,510.89906358090093
QS,PRG,TFS,3573.1576562645437
QS,PRG,TFS,3573.1576562645437
QS,PRG,TLV,2634.6235287839395
QS,PRG,TLV,2634.6235287839395
QS,PRG,TXL,281.63165215584183
QS,PRG,TXL,281.63165215584183
QS,PRG,VLC,1651.15519251039
QS,PRG,VLC,1651.15519251039
QS,PRG,WAW,521.0121525878125
QS,PRG,WAW,521.0121525878125
QS,PRG,ZRH,510.64962774541374
QS,PRG,ZRH,510.64962774541374
QS,RHO,PRG,1883.6571824308435
QS,RHO,PRG,1883.6571824308435
QS,SPU,PRG,745.8681391471162
QS,SPU,PRG,745.8681391471162
QS,SXB,PRG,510.89906358090093
QS,SXB,PRG,510.89906358090093
QS,TFS,PRG,3573.1576562645437
QS,TFS,PRG,3573.1576562645437
QS,TLV,PRG,2634.6235287839395
QS,TLV,PRG,2634.6235287839395
QS,TXL,PRG,281.63165215584183
QS,TXL,PRG,281.63165215584183
QS,VLC,PRG,1651.15519251039
QS,VLC,PRG,1651.15519251039
QS,WAW,PRG,521.0121525878125
QS,WAW,PRG,521.0121525878125
QS,ZRH,PRG,510.64962774541374
QS,ZRH,PRG,510.64962774541374
QU,IEV,VKO,734.591313138016
QU,LWO,VKO,1100.0809941756804
QU,VKO,IEV,734.591313138016
QU,VKO,LWO,1100.0809941756804
QV,BKK,LPQ,707.390589123495
QV,BKK,VTE,516.8171650265591
QV,BKK,ZVK,536.4262822644184
QV,CAN,VTE,1267.493756123137
QV,CNX,LPQ,358.35271470453137
QV,HAN,LPQ,407.1221083666753
QV,HAN,VTE,494.62015464119406
QV,HOE,VTE,336.94869257360386
QV,ICN,VTE,3178.765136538916
QV,JHG,LPQ,272.9191808866763
